Number,Legs,Wings,Gender,Length,Height,Weight,Environment,Classification
103,4,4,Male,583,591,3279.375,mountain,Dragon
104,0,0,Male,1246,49,7008.75,swamp,Wyrm
105,4,2,Female,526,525,2958.75,mountain,Dragon
106,0,0,Male,1038,58,5838.75,cave,Wyrm
107,0,0,Male,979,60,5506.875,swamp,Wyrm
108,2,4,Male,339,224,1906.875,volcanoes,Wyvern
109,4,2,Female,947,66,5326.875,air,Flying Serpent
110,2,4,Male,344,192,1935.0,volcanoes,Wyvern
111,0,0,Female,1363,48,7666.875,cave,Wyrm
112,4,4,Female,761,394,4280.625,mountain,Dragon
113,4,0,Female,988,67,5557.5,air,Serpent
114,4,6,Male,405,391,2278.125,cave,Dragon
115,4,6,Male,480,516,2700.0,volcanoes,Dragon
116,2,4,Female,501,181,2818.125,volcanoes,Wyvern
117,4,0,Female,1060,72,5962.5,air,Serpent
118,4,2,Male,651,96,3661.875,air,Flying Serpent
119,0,0,Male,1038,63,5838.75,swamp,Wyrm
120,4,2,Male,619,80,3481.875,air,Flying Serpent
121,4,0,Female,1051,57,5911.875,water,Serpent
122,0,0,Male,879,54,4944.375,swamp,Wyrm
123,2,4,Female,310,156,1743.75,volcanoes,Wyvern
124,2,4,Female,488,165,2745.0,volcanoes,Wyvern
125,2,2,Female,255,130,1434.375,woods,Drake
126,4,2,Male,602,316,3386.25,mountain,Dragon
127,2,4,Female,358,162,2013.75,volcanoes,Wyvern
128,4,2,Female,1050,71,5906.25,air,Flying Serpent
129,2,4,Male,320,216,1800.0,volcanoes,Wyvern
130,0,0,Female,1020,36,5737.5,swamp,Wyrm
131,4,2,Female,701,467,3943.125,mountain,Dragon
132,4,2,Female,1020,67,5737.5,air,Flying Serpent
133,4,2,Male,180,132,1012.5,mountain,Drake
134,0,0,Male,1187,56,6676.875,cave,Wyrm
135,0,0,Female,1312,47,7380.0,cave,Wyrm
136,0,0,Female,1242,43,6986.25,cave,Wyrm
137,4,0,Female,947,66,5326.875,water,Serpent
138,0,0,Female,1086,43,6108.75,cave,Wyrm
139,2,2,Female,226,117,1271.25,volcanoes,Drake
140,0,0,Male,1195,60,6721.875,swamp,Wyrm
141,4,0,Male,804,72,4522.5,air,Serpent
142,4,2,Female,975,80,5484.375,air,Flying Serpent
143,4,4,Male,537,307,3020.625,volcanoes,Dragon
144,2,4,Male,402,178,2261.25,volcanoes,Wyvern
145,4,0,Male,991,67,5574.375,air,Serpent
146,4,4,Male,551,284,3099.375,cave,Dragon
147,4,2,Male,736,93,4140.0,air,Flying Serpent
148,4,2,Male,648,76,3645.0,air,Flying Serpent
149,2,4,Female,511,278,2874.375,volcanoes,Wyvern
150,4,2,Female,739,69,4156.875,air,Flying Serpent
151,4,4,Male,575,254,3234.375,mountain,Dragon
152,4,2,Female,259,168,1456.875,woods,Drake
153,0,0,Male,827,59,4651.875,swamp,Wyrm
154,4,2,Male,416,255,2340.0,cave,Dragon
155,4,0,Female,1017,72,5720.625,air,Serpent
156,4,4,Female,776,306,4365.0,cave,Dragon
157,2,2,Female,416,158,2340.0,volcanoes,Wyvern
158,0,0,Male,988,47,5557.5,cave,Wyrm
159,4,4,Male,525,573,2953.125,volcanoes,Dragon
160,4,0,Female,969,59,5450.625,water,Serpent
161,2,2,Male,375,188,2109.375,volcanoes,Wyvern
162,0,0,Male,1209,59,6800.625,cave,Wyrm
163,2,2,Female,312,235,1755.0,volcanoes,Wyvern
164,2,4,Male,279,128,1569.375,volcanoes,Wyvern
165,2,2,Male,191,102,1074.375,woods,Drake
166,2,4,Female,589,157,3313.125,volcanoes,Wyvern
167,4,2,Female,880,74,4950.0,air,Flying Serpent
168,4,6,Male,575,504,3234.375,cave,Dragon
169,2,2,Male,186,106,1046.25,desert,Drake
170,2,2,Male,252,142,1417.5,volcanoes,Wyvern
171,0,0,Female,1211,41,6811.875,swamp,Wyrm
172,0,0,Male,892,48,5017.5,cave,Wyrm
173,4,0,Male,666,76,3746.25,air,Serpent
174,0,0,Male,921,50,5180.625,swamp,Wyrm
175,4,2,Male,522,262,2936.25,cave,Dragon
176,4,4,Female,579,419,3256.875,volcanoes,Dragon
177,4,4,Female,679,496,3819.375,cave,Dragon
178,2,2,Female,252,142,1417.5,volcanoes,Drake
179,4,6,Male,441,294,2480.625,volcanoes,Dragon
180,4,0,Male,646,76,3633.75,water,Serpent
181,4,0,Male,796,70,4477.5,air,Serpent
182,0,0,Male,864,55,4860.0,cave,Wyrm
183,4,2,Female,1052,81,5917.5,air,Flying Serpent
184,0,0,Female,1276,37,7177.5,swamp,Wyrm
185,4,2,Female,247,135,1389.375,air,Drake
186,4,0,Male,660,73,3712.5,air,Serpent
187,4,2,Female,512,435,2880.0,volcanoes,Dragon
188,4,2,Male,491,432,2761.875,volcanoes,Dragon
189,4,6,Female,509,601,2863.125,mountain,Dragon
190,4,0,Female,914,62,5141.25,water,Serpent
191,4,2,Male,183,115,1029.375,woods,Drake
192,4,2,Female,1077,78,6058.125,air,Flying Serpent
193,4,2,Male,218,134,1226.25,cave,Drake
194,0,0,Male,872,61,4905.0,cave,Wyrm
195,4,2,Male,221,103,1243.125,volcanoes,Drake
196,0,0,Male,1136,45,6390.0,cave,Wyrm
197,0,0,Male,971,46,5461.875,cave,Wyrm
198,0,0,Male,1064,46,5985.0,cave,Wyrm
199,4,2,Female,570,435,3206.25,cave,Dragon
200,0,0,Female,1359,42,7644.375,swamp,Wyrm
201,4,0,Female,843,64,4741.875,water,Serpent
202,4,2,Female,809,545,4550.625,volcanoes,Dragon
203,4,2,Male,197,144,1108.125,air,Drake
204,4,2,Male,477,375,2683.125,cave,Dragon
205,4,0,Female,744,69,4185.0,air,Serpent
206,4,2,Female,681,77,3830.625,air,Flying Serpent
207,4,0,Male,1026,65,5771.25,water,Serpent
208,4,4,Female,596,278,3352.5,mountain,Dragon
209,4,4,Female,731,343,4111.875,mountain,Dragon
210,4,2,Male,807,86,4539.375,air,Flying Serpent
211,0,0,Male,1042,51,5861.25,swamp,Wyrm
212,4,2,Male,713,95,4010.625,air,Flying Serpent
213,4,2,Female,872,68,4905.0,air,Flying Serpent
214,2,2,Female,310,157,1743.75,volcanoes,Wyvern
215,4,2,Male,203,135,1141.875,volcanoes,Drake
216,4,0,Male,686,73,3858.75,air,Serpent
217,0,0,Female,951,35,5349.375,swamp,Wyrm
218,2,2,Male,191,142,1074.375,air,Drake
219,2,2,Male,226,180,1271.25,volcanoes,Wyvern
220,0,0,Female,1196,37,6727.5,swamp,Wyrm
221,4,4,Female,708,345,3982.5,mountain,Dragon
222,4,0,Female,747,54,4201.875,air,Serpent
223,4,2,Male,199,138,1119.375,cave,Drake
224,4,6,Female,500,355,2812.5,volcanoes,Dragon
225,0,0,Male,1221,52,6868.125,cave,Wyrm
226,4,6,Female,726,388,4083.75,mountain,Dragon
227,2,2,Female,434,233,2441.25,volcanoes,Wyvern
228,0,0,Female,1170,36,6581.25,cave,Wyrm
229,4,0,Female,1126,51,6333.75,air,Serpent
230,0,0,Male,990,55,5568.75,swamp,Wyrm
231,2,4,Female,276,231,1552.5,volcanoes,Wyvern
232,0,0,Male,925,58,5203.125,cave,Wyrm
233,2,2,Female,225,158,1265.625,woods,Drake
234,2,4,Female,556,213,3127.5,volcanoes,Wyvern
235,2,4,Male,219,147,1231.875,volcanoes,Wyvern
236,4,2,Female,732,79,4117.5,air,Flying Serpent
237,4,2,Male,217,123,1220.625,air,Drake
238,4,0,Male,957,71,5383.125,air,Serpent
239,2,4,Male,378,180,2126.25,volcanoes,Wyvern
240,4,2,Female,602,552,3386.25,cave,Dragon
241,4,6,Male,484,491,2722.5,cave,Dragon
242,2,4,Male,414,202,2328.75,volcanoes,Wyvern
243,4,2,Female,800,464,4500.0,cave,Dragon
244,2,2,Male,207,118,1164.375,volcanoes,Drake
245,4,4,Male,449,549,2525.625,volcanoes,Dragon
246,0,0,Female,1187,42,6676.875,cave,Wyrm
247,2,2,Female,241,135,1355.625,air,Drake
248,0,0,Female,1187,41,6676.875,cave,Wyrm
249,4,2,Female,237,155,1333.125,air,Drake
250,2,4,Male,208,177,1170.0,volcanoes,Wyvern
251,4,2,Female,1044,81,5872.5,air,Flying Serpent
252,2,2,Female,297,210,1670.625,volcanoes,Wyvern
253,4,0,Male,639,77,3594.375,water,Serpent
254,0,0,Female,1028,35,5782.5,cave,Wyrm
255,0,0,Female,989,47,5563.125,swamp,Wyrm
256,0,0,Female,1004,40,5647.5,cave,Wyrm
257,4,4,Female,657,527,3695.625,volcanoes,Dragon
258,4,0,Male,649,78,3650.625,air,Serpent
259,0,0,Female,1184,35,6660.0,swamp,Wyrm
260,4,0,Female,989,58,5563.125,water,Serpent
261,2,2,Female,472,231,2655.0,volcanoes,Wyvern
262,2,2,Female,241,144,1355.625,mountain,Drake
263,4,6,Female,675,252,3796.875,volcanoes,Dragon
264,2,2,Male,227,191,1276.875,volcanoes,Wyvern
265,4,2,Female,231,131,1299.375,desert,Drake
266,4,0,Male,969,69,5450.625,water,Serpent
267,2,2,Female,239,170,1344.375,cave,Drake
268,2,4,Female,279,265,1569.375,volcanoes,Wyvern
269,4,2,Female,264,149,1485.0,cave,Drake
270,2,2,Female,218,139,1226.25,mountain,Drake
271,0,0,Female,1027,43,5776.875,swamp,Wyrm
272,4,0,Male,956,76,5377.5,air,Serpent
273,4,0,Male,694,74,3903.75,water,Serpent
274,0,0,Male,901,62,5068.125,swamp,Wyrm
275,4,4,Female,702,532,3948.75,mountain,Dragon
276,4,2,Female,932,80,5242.5,air,Flying Serpent
277,2,4,Male,305,156,1715.625,volcanoes,Wyvern
278,4,2,Male,660,75,3712.5,air,Flying Serpent
279,4,2,Female,1084,65,6097.5,air,Flying Serpent
280,2,4,Male,345,127,1940.625,volcanoes,Wyvern
281,4,0,Female,1092,66,6142.5,air,Serpent
282,4,2,Male,484,380,2722.5,cave,Dragon
283,4,0,Male,932,67,5242.5,air,Serpent
284,4,2,Female,684,66,3847.5,air,Flying Serpent
285,2,4,Male,219,207,1231.875,volcanoes,Wyvern
286,4,0,Male,609,68,3425.625,air,Serpent
287,2,2,Male,374,183,2103.75,volcanoes,Wyvern
288,4,2,Female,619,293,3481.875,volcanoes,Dragon
289,4,2,Female,228,156,1282.5,mountain,Drake
290,2,4,Female,395,243,2221.875,volcanoes,Wyvern
291,2,2,Female,227,141,1276.875,cave,Drake
292,2,4,Female,572,269,3217.5,volcanoes,Wyvern
293,4,0,Female,935,72,5259.375,air,Serpent
294,4,6,Male,535,488,3009.375,volcanoes,Dragon
295,4,2,Female,1064,73,5985.0,air,Flying Serpent
296,2,2,Male,175,102,984.375,woods,Drake
297,4,0,Female,933,55,5248.125,air,Serpent
298,0,0,Male,863,55,4854.375,cave,Wyrm
299,4,2,Male,807,94,4539.375,air,Flying Serpent
300,2,2,Male,216,104,1215.0,mountain,Drake
301,4,2,Male,176,111,990.0,desert,Drake
302,2,2,Female,229,138,1288.125,desert,Drake
303,2,2,Male,205,94,1153.125,cave,Drake
304,2,4,Male,229,136,1288.125,volcanoes,Wyvern
305,4,6,Male,479,465,2694.375,cave,Dragon
306,0,0,Female,1024,48,5760.0,swamp,Wyrm
307,4,0,Female,946,73,5321.25,water,Serpent
308,4,4,Female,679,496,3819.375,cave,Dragon
309,2,2,Male,182,91,1023.75,woods,Drake
310,2,2,Male,321,189,1805.625,volcanoes,Wyvern
311,4,2,Female,222,111,1248.75,woods,Drake
312,2,2,Male,193,132,1085.625,air,Drake
313,4,6,Female,683,542,3841.875,mountain,Dragon
314,2,2,Male,356,131,2002.5,volcanoes,Wyvern
315,0,0,Male,1198,54,6738.75,cave,Wyrm
316,4,2,Female,237,131,1333.125,mountain,Drake
317,2,2,Male,246,160,1383.75,volcanoes,Wyvern
318,4,4,Male,580,443,3262.5,mountain,Dragon
319,2,2,Female,257,160,1445.625,desert,Drake
320,4,2,Male,902,84,5073.75,air,Flying Serpent
321,4,0,Male,1012,74,5692.5,air,Serpent
322,4,2,Male,879,96,4944.375,air,Flying Serpent
323,4,2,Male,414,566,2328.75,volcanoes,Dragon
324,4,2,Male,438,333,2463.75,cave,Dragon
325,4,2,Male,458,216,2576.25,cave,Dragon
326,4,2,Female,1096,72,6165.0,air,Flying Serpent
327,0,0,Male,896,46,5040.0,swamp,Wyrm
328,4,2,Female,713,72,4010.625,air,Flying Serpent
329,2,4,Male,362,223,2036.25,volcanoes,Wyvern
330,2,2,Female,215,162,1209.375,air,Drake
331,2,2,Female,252,153,1417.5,cave,Drake
332,4,0,Female,896,65,5040.0,air,Serpent
333,4,0,Female,973,55,5473.125,water,Serpent
334,4,2,Female,969,70,5450.625,air,Flying Serpent
335,2,2,Female,240,167,1350.0,cave,Drake
336,4,2,Male,735,93,4134.375,air,Flying Serpent
337,2,4,Male,420,160,2362.5,volcanoes,Wyvern
338,4,2,Female,908,72,5107.5,air,Flying Serpent
339,2,2,Female,235,150,1321.875,woods,Drake
340,4,0,Male,920,77,5175.0,air,Serpent
341,2,2,Male,359,182,2019.375,volcanoes,Wyvern
342,4,0,Male,798,79,4488.75,air,Serpent
343,4,0,Male,632,76,3555.0,water,Serpent
344,2,2,Male,200,141,1125.0,mountain,Drake
345,2,2,Male,251,168,1411.875,volcanoes,Wyvern
346,2,2,Male,223,123,1254.375,woods,Drake
347,4,6,Male,584,571,3285.0,mountain,Dragon
348,4,2,Female,582,532,3273.75,mountain,Dragon
349,4,0,Male,798,72,4488.75,water,Serpent
350,4,2,Male,200,126,1125.0,desert,Drake
351,4,2,Female,1048,78,5895.0,air,Flying Serpent
352,4,2,Female,789,76,4438.125,air,Flying Serpent
353,4,6,Male,430,516,2418.75,mountain,Dragon
354,4,2,Female,897,73,5045.625,air,Flying Serpent
355,4,2,Male,190,104,1068.75,woods,Drake
356,4,2,Male,182,93,1023.75,mountain,Drake
357,2,2,Male,262,220,1473.75,volcanoes,Wyvern
358,2,2,Male,240,136,1350.0,volcanoes,Wyvern
359,4,6,Male,577,300,3245.625,mountain,Dragon
360,4,2,Female,901,81,5068.125,air,Flying Serpent
361,4,2,Male,208,123,1170.0,cave,Drake
362,4,2,Female,772,491,4342.5,volcanoes,Dragon
363,0,0,Male,1076,49,6052.5,cave,Wyrm
364,4,2,Female,1093,75,6148.125,air,Flying Serpent
365,2,2,Male,261,144,1468.125,volcanoes,Wyvern
366,2,2,Female,310,188,1743.75,volcanoes,Wyvern
367,2,4,Male,368,186,2070.0,volcanoes,Wyvern
368,2,4,Male,300,166,1687.5,volcanoes,Wyvern
369,4,0,Male,733,74,4123.125,air,Serpent
370,4,4,Male,596,277,3352.5,cave,Dragon
371,2,2,Female,232,147,1305.0,cave,Drake
372,4,2,Male,588,442,3307.5,volcanoes,Dragon
373,4,6,Female,547,522,3076.875,volcanoes,Dragon
374,4,0,Male,1011,65,5686.875,water,Serpent
375,0,0,Male,987,47,5551.875,cave,Wyrm
376,2,2,Male,194,144,1091.25,desert,Drake
377,2,2,Male,195,90,1096.875,cave,Drake
378,0,0,Male,936,51,5265.0,cave,Wyrm
379,4,2,Female,264,111,1485.0,air,Drake
380,0,0,Male,1176,63,6615.0,cave,Wyrm
381,0,0,Male,838,63,4713.75,cave,Wyrm
382,4,4,Male,457,295,2570.625,volcanoes,Dragon
383,4,2,Male,920,89,5175.0,air,Flying Serpent
384,0,0,Female,1151,37,6474.375,cave,Wyrm
385,4,2,Female,838,65,4713.75,air,Flying Serpent
386,2,4,Male,280,182,1575.0,volcanoes,Wyvern
387,4,0,Female,1080,63,6075.0,air,Serpent
388,4,0,Female,746,62,4196.25,water,Serpent
389,4,6,Male,542,268,3048.75,cave,Dragon
390,4,2,Male,801,86,4505.625,air,Flying Serpent
391,0,0,Female,1137,39,6395.625,cave,Wyrm
392,2,2,Male,225,221,1265.625,volcanoes,Wyvern
393,2,2,Male,183,142,1029.375,mountain,Drake
394,4,2,Male,178,135,1001.25,cave,Drake
395,4,6,Female,724,461,4072.5,mountain,Dragon
396,4,4,Female,551,309,3099.375,volcanoes,Dragon
397,0,0,Female,1229,39,6913.125,cave,Wyrm
398,4,0,Male,725,77,4078.125,water,Serpent
399,4,2,Male,614,431,3453.75,cave,Dragon
400,4,6,Male,426,463,2396.25,mountain,Dragon
401,0,0,Female,1027,44,5776.875,swamp,Wyrm
402,4,0,Female,1070,70,6018.75,air,Serpent
403,0,0,Male,1206,52,6783.75,cave,Wyrm
404,2,2,Male,278,197,1563.75,volcanoes,Wyvern
405,2,2,Female,482,187,2711.25,volcanoes,Wyvern
406,4,4,Female,717,382,4033.125,cave,Dragon
407,4,2,Male,195,115,1096.875,air,Drake
408,4,2,Female,910,72,5118.75,air,Flying Serpent
409,4,6,Female,672,581,3780.0,cave,Dragon
410,2,2,Male,365,160,2053.125,volcanoes,Wyvern
411,4,0,Female,900,63,5062.5,water,Serpent
412,2,2,Male,195,142,1096.875,mountain,Drake
413,2,2,Female,339,191,1906.875,volcanoes,Wyvern
414,4,2,Male,203,97,1141.875,desert,Drake
415,2,2,Male,205,122,1153.125,volcanoes,Drake
416,4,2,Male,200,141,1125.0,mountain,Drake
417,4,0,Female,770,61,4331.25,water,Serpent
418,2,2,Male,318,155,1788.75,volcanoes,Wyvern
419,4,2,Male,571,434,3211.875,mountain,Dragon
420,4,2,Female,254,156,1428.75,desert,Drake
421,4,0,Female,977,74,5495.625,air,Serpent
422,4,4,Male,603,386,3391.875,mountain,Dragon
423,4,6,Male,574,541,3228.75,volcanoes,Dragon
424,4,2,Female,537,331,3020.625,cave,Dragon
425,4,2,Female,1057,72,5945.625,air,Flying Serpent
426,4,2,Male,803,94,4516.875,air,Flying Serpent
427,2,2,Female,454,211,2553.75,volcanoes,Wyvern
428,4,4,Female,758,322,4263.75,volcanoes,Dragon
429,4,2,Male,588,312,3307.5,volcanoes,Dragon
430,0,0,Male,990,46,5568.75,cave,Wyrm
431,4,2,Male,605,357,3403.125,volcanoes,Dragon
432,4,2,Male,222,120,1248.75,woods,Drake
433,2,2,Female,359,240,2019.375,volcanoes,Wyvern
434,4,2,Female,222,138,1248.75,mountain,Drake
435,4,2,Male,186,128,1046.25,air,Drake
436,2,2,Male,372,218,2092.5,volcanoes,Wyvern
437,4,2,Female,947,84,5326.875,air,Flying Serpent
438,4,0,Female,746,71,4196.25,air,Serpent
439,2,2,Male,207,120,1164.375,volcanoes,Drake
440,0,0,Male,1178,61,6626.25,swamp,Wyrm
441,4,4,Male,464,532,2610.0,mountain,Dragon
442,2,4,Male,227,196,1276.875,volcanoes,Wyvern
443,2,2,Female,223,173,1254.375,woods,Drake
444,4,2,Female,1096,80,6165.0,air,Flying Serpent
445,4,2,Male,182,139,1023.75,desert,Drake
446,2,2,Female,231,145,1299.375,air,Drake
447,4,2,Male,852,95,4792.5,air,Flying Serpent
448,4,0,Female,993,61,5585.625,air,Serpent
449,4,2,Female,779,401,4381.875,cave,Dragon
450,4,2,Male,427,384,2401.875,mountain,Dragon
451,2,4,Male,236,161,1327.5,volcanoes,Wyvern
452,4,6,Male,519,243,2919.375,mountain,Dragon
453,2,4,Male,350,145,1968.75,volcanoes,Wyvern
454,0,0,Male,1096,55,6165.0,swamp,Wyrm
455,0,0,Female,961,47,5405.625,cave,Wyrm
456,4,2,Male,186,115,1046.25,desert,Drake
457,0,0,Female,1204,38,6772.5,cave,Wyrm
458,2,2,Female,222,153,1248.75,mountain,Drake
459,4,6,Male,525,290,2953.125,mountain,Dragon
460,2,2,Female,440,186,2475.0,volcanoes,Wyvern
461,4,6,Female,544,306,3060.0,cave,Dragon
462,4,0,Female,700,66,3937.5,air,Serpent
463,4,2,Male,405,277,2278.125,cave,Dragon
464,2,4,Male,255,194,1434.375,volcanoes,Wyvern
465,4,2,Female,840,81,4725.0,air,Flying Serpent
466,4,0,Male,621,70,3493.125,air,Serpent
467,4,2,Male,652,86,3667.5,air,Flying Serpent
468,4,0,Male,926,78,5208.75,water,Serpent
469,4,2,Male,180,135,1012.5,volcanoes,Drake
470,0,0,Female,1291,38,7261.875,cave,Wyrm
471,4,0,Male,646,78,3633.75,air,Serpent
472,4,2,Male,470,250,2643.75,mountain,Dragon
473,0,0,Male,893,48,5023.125,swamp,Wyrm
474,0,0,Male,1027,54,5776.875,swamp,Wyrm
475,4,2,Female,678,495,3813.75,mountain,Dragon
476,4,0,Female,1062,72,5973.75,water,Serpent
477,2,4,Female,316,295,1777.5,volcanoes,Wyvern
478,2,2,Female,550,274,3093.75,volcanoes,Wyvern
479,4,2,Male,744,81,4185.0,air,Flying Serpent
480,4,2,Male,670,94,3768.75,air,Flying Serpent
481,4,2,Female,1028,65,5782.5,air,Flying Serpent
482,2,4,Female,456,206,2565.0,volcanoes,Wyvern
483,2,4,Male,213,177,1198.125,volcanoes,Wyvern
484,2,2,Male,179,103,1006.875,volcanoes,Drake
485,4,2,Male,739,98,4156.875,air,Flying Serpent
486,4,4,Female,654,552,3678.75,cave,Dragon
487,4,2,Female,259,120,1456.875,woods,Drake
488,4,4,Male,594,344,3341.25,mountain,Dragon
489,2,2,Male,252,135,1417.5,volcanoes,Wyvern
490,4,6,Male,411,311,2311.875,volcanoes,Dragon
491,0,0,Male,1040,55,5850.0,cave,Wyrm
492,2,2,Female,466,227,2621.25,volcanoes,Wyvern
493,4,2,Male,729,85,4100.625,air,Flying Serpent
494,2,2,Male,176,99,990.0,air,Drake
495,2,2,Female,237,162,1333.125,volcanoes,Drake
496,2,2,Female,254,159,1428.75,cave,Drake
497,4,0,Female,855,72,4809.375,water,Serpent
498,4,2,Female,745,76,4190.625,air,Flying Serpent
499,4,0,Male,709,74,3988.125,air,Serpent
500,4,2,Male,430,337,2418.75,mountain,Dragon
501,4,2,Male,218,145,1226.25,mountain,Drake
502,0,0,Female,986,44,5546.25,cave,Wyrm
503,4,4,Female,796,479,4477.5,mountain,Dragon
504,4,2,Female,717,70,4033.125,air,Flying Serpent
505,4,2,Female,234,158,1316.25,desert,Drake
506,4,6,Male,419,577,2356.875,cave,Dragon
507,4,0,Male,704,70,3960.0,air,Serpent
508,4,0,Female,1039,65,5844.375,water,Serpent
509,2,2,Female,223,146,1254.375,woods,Drake
